O*NET-SOC Code,Title,Modified BLS Super Sector,software_automation_risk,software_automation_reason,software_and_robotics_automation_risk,software_and_robotics_automation_reason,software_only_adoption_rate,software_and_robotics_adoption_rate,automation_adoption_rate_reason
25-9043.00,"Teaching Assistants, Special Education",,3.0,"Teaching assistants in special education perform many human-centric tasks requiring empathy, relationship building, and adaptability to individual student needs. While some administrative tasks like record-keeping and grading could be automated, the core duties of providing personalized support, behavioral guidance, and emotional care are inherently human-centered and align with safe duties in the framework.",2.0,"Even with robotics, this role remains highly protected due to its focus on human-centric care and education. The job requires fine-motor assistance, adaptability to variable student needs, creative problem-solving for individual learning challenges, and building meaningful relationships with students with special needs - all areas identified as safe from automation.",4.0,3.0,"The education sector, particularly special education, tends to adopt technology cautiously due to regulatory requirements, budget constraints, and the need for extensive training. While administrative software may be adopted at moderate pace, robotics integration would be slower due to safety concerns, high costs, and the deeply personal nature of special education services."
25-9044.00,"Teaching Assistants, Postsecondary",EDUCATIONAL_SERVICES,3.0,"Teaching assistants perform many human-centric duties like tutoring, mentoring, leading discussions, and building relationships with students. While some administrative tasks like grading and data entry are vulnerable to automation, the core teaching, coaching, and interpersonal aspects align with safe duties requiring empathy, active listening, and educational expertise.",2.0,"The role remains largely protected even with robotics integration. Teaching assistants' work centers on human-centric care and education, adaptability in variable classroom environments, and creative problem-solving in educational contexts. Physical tasks are minimal and mostly involve fine-motor activities like writing and equipment demonstration.",4.0,3.0,"Educational institutions typically adopt technology slowly due to budget constraints, need for extensive training, and emphasis on human interaction in learning. While software tools for grading and course management are gradually being adopted, full automation faces resistance due to the importance of human mentorship in education."
27-1011.00,Art Directors,MEDIA_AND_COMMUNICATIONS_SERVICES,3.0,"Art Directors primarily engage in creative strategy, novel design solutions, and high-stakes aesthetic judgment - all safe duties. While they use design software extensively, their core work involves framing creative strategies, tackling ambiguous visual problems, and building client relationships, which are resistant to software automation.",2.0,"Art Directors' work is fundamentally creative and human-centric, involving fine-motor craftsmanship in design, adaptability across variable client needs, and creative physical expression through visual media. Their role requires on-the-fly problem solving and human judgment that robotics cannot replicate effectively.",7.0,4.0,"Media and communications industry rapidly adopts new software tools for efficiency and competitive advantage. However, robotics adoption is slower due to the creative, human-centric nature of content creation and the high costs of implementing physical automation in creative workflows."
27-1012.00,Craft Artists,SPECIAL_INDUSTRIES,2.0,"Craft Artists primarily engage in creative physical expression, fine-motor craftsmanship, and developing novel artistic solutions - all activities identified as safe from software automation. Their work involves tackling ambiguous creative problems, building relationships with customers, and applying deep experiential expertise in their craft.",3.0,"While robotics could potentially assist with some repetitive physical tasks like material handling or basic assembly, the core creative work remains protected. The job requires fine-motor craftsmanship, adaptability in variable environments, creative physical expression, and on-the-fly problem solving - all identified as safe duties from robotics automation.",4.0,3.0,"The arts and crafts industry is traditionally conservative and values human creativity and craftsmanship. While some digital design tools are adopted, the industry prioritizes authenticity and handmade quality. Training artisans on new technologies and the high cost of specialized robotics for varied craft work would slow adoption significantly."
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",MEDIA_AND_COMMUNICATIONS_SERVICES,2.0,"Fine artists engage in highly creative work requiring originality, artistic vision, and creative physical expression. Their core activities involve developing novel artistic concepts, creative problem-solving, and producing unique visual works - all of which align with 'safe duties' like framing strategy, designing novel solutions, and creative thinking that are resistant to software automation.",3.0,"While core creative and conceptual work remains safe, some physical aspects like repetitive brush strokes, basic material handling, or standardized framing could potentially be automated with advanced robotics. However, the fine motor skills, adaptability, and creative physical expression required for most artistic work provide significant protection against automation.",4.0,3.0,"The arts and media industry is traditionally slow to adopt automation due to the highly creative and individualistic nature of artistic work. Artists value creative control and authenticity, making them resistant to automation tools. Additionally, the fragmented nature of the art market and varying economic resources of individual artists slow widespread adoption of new technologies."
27-1014.00,Special Effects Artists and Animators,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"Special Effects Artists and Animators face moderate software automation risk. While AI can assist with basic animation generation and templated effects, the role requires high creative thinking, original visual storytelling, complex problem-solving under tight deadlines, and deep artistic judgment that current AI cannot fully replicate.",3.0,"Robotics adds minimal additional risk since this is primarily digital creative work. The role remains protected by requirements for creative physical expression, adaptability in variable project environments, fine-motor craftsmanship in digital art creation, and human-centric storytelling that resonates with audiences.",7.0,6.0,"Media industry rapidly adopts new software tools for competitive advantage and efficiency. However, creative professionals require extensive training on complex software, and studios must balance automation with maintaining artistic quality and human creativity, moderating full adoption speed."
27-1021.00,Commercial and Industrial Designers,ARCHITECTURAL_ENGINEERING_SERVICES,4.0,"Commercial and Industrial Designers engage heavily in creative thinking, novel solution design, and tackling ambiguous problems without clear precedents. While some templated tasks like CAD drafting and standardized reporting exist, the core work involves framing strategy, building relationships with clients, and applying deep domain expertise - all safe duties in software automation.",3.0,"The role involves significant creative physical expression through model fabrication and fine-motor craftsmanship in prototyping. Human-centric consultation, adaptability in variable project environments, and on-the-fly problem solving during design iterations are core activities that remain safe from robotics automation, keeping risk relatively low.",6.0,4.0,"The architectural/engineering services industry has moderate adoption rates for software tools (CAD, simulation software already widespread), but robotics adoption is slower due to the creative, consultative nature of design work. High customization requirements and client interaction needs limit full automation adoption despite technological capabilities."
27-1022.00,Fashion Designers,MANUFACTURING,3.0,"Fashion designers primarily engage in creative thinking, developing novel solutions, and tackling ambiguous problems without clear precedents - all safe duties. While some tasks like pattern drawing and basic data entry may be vulnerable, the core creative and strategic design work requires human creativity, aesthetic judgment, and cultural understanding that software cannot replicate.",4.0,"With robotics, some physical tasks like pattern cutting, fabric handling, and sample construction could be automated. However, the job remains largely protected by its emphasis on creative physical expression, fine-motor craftsmanship in design work, and adaptability in variable fashion environments. The human-centric aspects of understanding consumer preferences and cultural trends remain irreplaceable.",5.0,4.0,"The fashion manufacturing industry has moderate adoption rates due to cost considerations and the need for customization. While CAD software is widely adopted, full automation faces challenges from the industry's emphasis on creativity, seasonal changes, and the need for human aesthetic judgment. Training designers on new technologies and integrating systems across diverse fashion houses creates implementation barriers."
27-1023.00,Floral Designers,RETAIL_TRADE,4.0,"Floral design involves significant creative thinking, artistic expression, and client consultation requiring empathy and relationship building. However, some administrative tasks like inventory management, order processing, and basic record-keeping are vulnerable to software automation. The creative core remains protected.",5.0,"While creative design and client interaction remain safe, robotics could potentially automate some physical tasks like basic flower cutting, arrangement assembly following standard patterns, and inventory handling. However, fine motor skills for delicate arrangements and adaptive creativity in variable environments provide protection.",6.0,4.0,"Retail trade generally adopts software solutions at moderate pace for inventory and POS systems. However, robotics adoption is slower due to high costs, need for specialized equipment for delicate flower handling, and the artisanal nature of floral design businesses which are often small-scale operations."
27-1024.00,Graphic Designers,MEDIA_AND_COMMUNICATIONS_SERVICES,6.0,"Graphic designers face moderate automation risk from AI tools that can generate layouts, logos, and basic designs. However, creative conceptualization, client consultation, brand strategy, and custom artistic solutions require human creativity and judgment that current AI cannot fully replicate.",6.0,"Robotics adds minimal additional risk beyond software automation for graphic design work, as the role is primarily digital and creative. The core vulnerabilities remain in template-based design generation, while creative strategy, client relationships, and artistic innovation remain human-centric.",7.0,4.0,"Media and communications industry rapidly adopts software tools for efficiency and cost reduction, making AI design tools attractive. However, robotics adoption is limited due to the digital nature of graphic design work and minimal physical automation applications."
27-1025.00,Interior Designers,ARCHITECTURAL_ENGINEERING_SERVICES,3.0,"Interior designers engage heavily in creative thinking, strategic design solutions, and tackling ambiguous problems without clear precedents. They build relationships with clients, provide high-stakes aesthetic/functional judgment, and require deep domain expertise. While some CAD work and documentation could be automated, the core creative and client-facing aspects remain protected.",2.0,"Interior design requires fine-motor craftsmanship in space planning, adaptability in variable client environments, human-centric service orientation, and creative physical expression in design solutions. The profession involves on-the-fly problem solving for unique spaces and extensive client interaction that robotics cannot replicate effectively.",6.0,4.0,"The architectural/engineering services industry has moderate adoption rates for software tools like advanced CAD and visualization software, but slower adoption for robotics due to the creative, client-centric nature of design work. Training costs and the need for human creativity limit faster automation adoption."
27-1026.00,Merchandise Displayers and Window Trimmers,RETAIL_TRADE,4.0,"While some tasks like inventory management and signage production can be automated, the core creative and aesthetic judgment aspects require human creativity, spatial visualization, and customer psychology understanding that current AI cannot replicate effectively.",6.0,"Robotics could automate physical arrangement tasks and repetitive display assembly, but the creative design, aesthetic judgment, customer appeal assessment, and adaptive problem-solving in variable retail environments remain challenging for automation.",6.0,4.0,"Retail industry adopts software solutions moderately fast for efficiency gains, but robotics adoption is slower due to high costs, need for customization across diverse store layouts, and the creative nature of visual merchandising requiring human judgment."
27-1027.00,Set and Exhibit Designers,MEDIA_AND_COMMUNICATIONS_SERVICES,3.0,"Set and exhibit designers engage heavily in creative thinking, novel problem-solving, and strategic design work - all safe duties. While they use CAD software and digital tools, their core work involves artistic vision, client consultation, and adapting designs to unique contexts, which requires human creativity and judgment that current AI cannot replicate effectively.",4.0,"Even with robotics, the job remains relatively safe due to its emphasis on creative physical expression, fine-motor craftsmanship in model building, and adaptability in variable environments. However, some physical construction and installation coordination tasks could potentially be automated, slightly increasing the risk compared to software-only scenarios.",6.0,4.0,"The media and communications industry is moderately quick to adopt software tools (CAD, design software already widely used), but slower with robotics due to the creative, custom nature of set design work. High costs of specialized robotics for varied construction tasks and the need for human artistic judgment limit robotics adoption speed."
27-2011.00,Actors,TRAVEL_AND_ENTERTAINMENT_SERVICES,2.0,"Acting requires creative thinking, emotional interpretation, human connection, and adaptability - all core safe duties. While some administrative tasks (scheduling, correspondence) may be automated, the core creative and performance aspects are highly resistant to software automation due to their deeply human, artistic nature.",3.0,"Even with robotics, acting remains largely protected due to human-centric performance requirements. While motion capture and digital effects may change production methods, live performance, emotional authenticity, and creative physical expression remain fundamentally human. Some background or digital roles might face automation risks.",4.0,3.0,"Entertainment industry adopts technology moderately for production efficiency (scheduling, casting platforms) but slowly for core creative roles. High costs of training, union resistance, and audience preference for authentic human performance limit adoption speed, especially for robotics in live performance contexts."
27-2012.00,Producers and Directors,MEDIA_AND_COMMUNICATIONS_SERVICES,3.0,"Producers and Directors primarily engage in creative strategy, relationship building, and high-stakes decision-making - all safe duties in software automation. While some administrative tasks like scheduling and reporting could be automated, the core creative and leadership functions require human judgment, artistic vision, and interpersonal skills that are difficult to automate.",2.0,"Adding robotics doesn't significantly increase automation risk for Producers and Directors since their work is primarily cognitive and creative rather than physical. The role involves human-centric activities like directing talent, making creative decisions, and managing complex productions that require adaptability, emotional intelligence, and artistic judgment - all areas where humans excel over automation.",6.0,4.0,"The media industry adopts software tools relatively quickly for efficiency (editing software, project management, analytics), but creative roles resist full automation. Robotics adoption is slower as physical production elements still require human oversight. The industry values human creativity and artistic vision, limiting comprehensive automation adoption despite technological capabilities."
27-2012.03,Media Programming Directors,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"Media Programming Directors have mixed vulnerability to software automation. While some tasks like scheduling, data entry, and routine reporting could be automated, the role heavily involves creative thinking, strategic decision-making, relationship building, and high-stakes judgment calls that require human expertise and cannot be easily replicated by software alone.",3.0,"Adding robotics doesn't significantly increase automation risk for this role since it's primarily knowledge-based work. The job involves creative programming decisions, managing talent relationships, strategic planning, and complex problem-solving in variable broadcast environments - all areas where human judgment and adaptability remain essential.",6.0,4.0,"Media industry adopts software automation moderately fast for scheduling and content management systems, but slower for robotics since most work is creative/strategic. Industry faces cost pressures driving software adoption, but creative roles require significant human oversight and relationship management that limits full automation adoption."
27-2012.04,Talent Directors,MEDIA_AND_COMMUNICATIONS_SERVICES,3.0,"Talent Directors primarily engage in creative thinking, relationship building, and high-stakes judgment calls when selecting performers. While some administrative tasks like scheduling and record-keeping could be automated, the core functions of evaluating talent, negotiating contracts, and making subjective casting decisions require human expertise and interpersonal skills that align with 'safe duties' in software automation.",2.0,"The addition of robotics doesn't significantly increase automation risk for Talent Directors since their work is primarily cognitive and interpersonal. The role involves human-centric activities like coaching actors, building relationships with agents, and making creative decisions about casting that require empathy, social influence, and adaptability - all protected against both software and robotics automation.",6.0,4.0,"The media and entertainment industry is moderately quick to adopt software tools for scheduling, database management, and communication, but slower with robotics due to the creative and relationship-focused nature of the work. High costs of training talent professionals and resistance to automating subjective creative decisions limit adoption speed."
27-2012.05,Media Technical Directors/Managers,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"Media Technical Directors/Managers have moderate software automation risk. While some technical operations like switching and monitoring can be automated, the role requires creative decision-making, real-time problem-solving, team coordination, and high-stakes judgment during live productions - all areas that remain challenging for current AI systems.",3.0,"Adding robotics doesn't significantly increase automation risk for this role. The position is primarily cognitive and managerial, involving studio-based technical coordination rather than physical tasks. The core vulnerabilities remain in software automation of routine technical operations, while leadership and creative aspects remain protected.",6.0,5.0,"Media industry adopts software automation moderately fast for technical operations (automated switching, AI-assisted editing). However, robotics adoption is slower due to high costs of specialized broadcast equipment and the need for human oversight in live production environments where mistakes are costly."
27-2021.00,Athletes and Sports Competitors,TRAVEL_AND_ENTERTAINMENT_SERVICES,2.0,"Athletes and sports competitors have very low software automation risk. Their core activities involve physical performance, real-time decision making, creative physical expression, and human-centric coaching/leadership - all areas identified as safe from software automation. While some administrative tasks like scheduling and data analysis could be automated, the fundamental job requires human physical capabilities and interpersonal skills.",1.0,"Even with robotics, athletes face minimal automation risk. The job fundamentally requires human physical performance, adaptability in variable competitive environments, creative physical expression, and human-centric coaching/mentoring. These are all identified as safe duties. Robots cannot replicate the nuanced physical skills, strategic thinking, and emotional intelligence required in competitive sports.",6.0,3.0,"The sports industry adopts software tools moderately for performance analysis, scheduling, and fan engagement. However, robotics adoption is slow due to the human-centric nature of sports, high costs of specialized equipment, and the fundamental requirement for human athletic performance that cannot be replaced by machines."
27-2022.00,Coaches and Scouts,TRAVEL_AND_ENTERTAINMENT_SERVICES,2.0,"Coaches and scouts primarily engage in human-centric activities like building relationships, coaching, mentoring, and providing personalized guidance. These roles require deep interpersonal skills, creative problem-solving, and adaptability to individual athlete needs - all areas that align with 'safe duties' in software automation scenarios.",1.0,"The physical and interpersonal nature of coaching makes it highly resistant to robotics automation. The job involves human-centric care, education, creative physical expression, and on-the-fly problem solving in variable environments - all core 'safe duties' that cannot be easily replicated by robotics.",4.0,2.0,"The travel and entertainment services industry, including sports, tends to be moderately conservative in adopting new technologies due to the emphasis on human experience and tradition. While software tools for analysis and scheduling may be adopted at average pace, robotics adoption would be very slow given the human-centered nature of coaching relationships."
27-2023.00,"Umpires, Referees, and Other Sports Officials",TRAVEL_AND_ENTERTAINMENT_SERVICES,2.0,"Sports officials require real-time judgment, conflict resolution, and human interaction skills that are core to the role. While some administrative tasks like scoring compilation could be automated, the primary duties involve high-stakes ethical judgment, relationship building, and tackling ambiguous situations without clear precedents - all identified as safe from software automation.",1.0,"The physical presence, adaptability in variable environments, and human-centric nature of sports officiating make this role highly resistant to robotics automation. Officials must navigate unpredictable sporting environments, make split-second decisions, and manage human emotions and conflicts - capabilities that remain uniquely human.",4.0,2.0,"The sports and entertainment industry is traditionally conservative regarding core officiating roles due to the importance of human judgment and fan acceptance. While technology assists (video replay, timing systems), replacing human officials faces significant resistance from stakeholders who value the human element in sports."
27-2031.00,Dancers,TRAVEL_AND_ENTERTAINMENT_SERVICES,1.0,"Dancers perform highly creative physical expression requiring real-time adaptability, artistic interpretation, and human emotional connection. Their work involves tackling ambiguous creative problems, building relationships with audiences, and deep experiential expertise in movement and performance - all areas identified as safe from software automation.",2.0,"Even with advanced robotics, dancing requires fine-motor craftsmanship, creative physical expression, and human-centric performance that connects emotionally with audiences. The adaptability needed for live performance, artistic interpretation, and the inherently human nature of dance expression make this role highly resistant to automation.",3.0,2.0,"The entertainment industry is traditionally slow to adopt automation for creative roles due to the value placed on human artistry and audience connection. While technology may assist with choreography planning or performance enhancement, replacing human dancers would fundamentally change the art form, making adoption extremely slow."
27-2032.00,Choreographers,TRAVEL_AND_ENTERTAINMENT_SERVICES,2.0,"Choreographers engage in highly creative work requiring artistic vision, human interaction, and complex physical coordination. Their core duties involve creative thinking, coaching others, building relationships, and tackling ambiguous artistic problems - all areas identified as safe from software automation. The role demands deep experiential expertise and high-stakes creative judgment.",1.0,"Even with robotics, choreography remains fundamentally human-centric, requiring creative physical expression, adaptability in variable environments, and fine-motor craftsmanship in movement design. The role involves human-centric education and care, on-the-fly physical problem solving, and creative artistic expression - all identified as safe from robotics automation.",4.0,2.0,"The entertainment industry is traditionally slow to adopt automation for creative roles due to the artistic nature of the work and emphasis on human expression. While some administrative aspects may see software adoption, the core creative and teaching functions resist automation. Training costs and the need to preserve artistic integrity further slow adoption rates."
27-2041.00,Music Directors and Composers,TRAVEL_AND_ENTERTAINMENT_SERVICES,2.0,"Music Directors and Composers engage in highly creative work requiring artistic vision, emotional interpretation, and human connection. Their core activities involve creative thinking, building relationships with performers, tackling ambiguous artistic problems, and making high-stakes aesthetic judgments - all areas identified as safe from software automation. While some administrative tasks may be automated, the creative essence remains human-centric.",1.0,"The addition of robotics doesn't significantly increase automation risk for Music Directors and Composers. Their work is fundamentally about creative physical expression through conducting, human-centric education and coaching of performers, and adaptability in variable performance environments. These activities align perfectly with duties identified as safe from robotics automation, requiring fine motor skills, creativity, and human interaction.",4.0,2.0,"The entertainment industry adopts software tools moderately for production and administrative tasks, but is conservative about core creative processes. Training musicians and directors on new systems is costly and time-consuming. Robotics adoption is very slow as the industry values human artistry and the irreplaceable nature of creative expression and live performance."
27-2042.00,Musicians and Singers,TRAVEL_AND_ENTERTAINMENT_SERVICES,2.0,"Musicians and singers engage in highly creative, interpretive work requiring emotional expression, live audience interaction, and artistic judgment. Their core activities involve creative thinking, building relationships with audiences, and tackling ambiguous artistic problems - all identified as safe duties in software automation scenarios.",1.0,"The profession requires fine-motor craftsmanship with instruments, adaptability in variable performance environments, human-centric entertainment, creative physical expression, and on-the-fly problem solving during live performances. These align strongly with safe duties against robotics automation, making displacement extremely unlikely.",4.0,2.0,"The entertainment industry adopts software tools moderately for production and promotion but remains conservative about core artistic functions. Training costs, artistic tradition, and audience preference for human authenticity slow adoption. Robotics adoption is minimal as live performance requires human creativity and emotional connection."
27-2091.00,"Disc Jockeys, Except Radio",TRAVEL_AND_ENTERTAINMENT_SERVICES,4.0,"DJs have moderate software automation risk. While music selection algorithms and automated mixing software exist, the role requires real-time crowd reading, creative playlist curation, live event management, and interactive entertainment that current AI cannot fully replicate. The creative and social aspects provide protection.",3.0,"Long-term risk remains low-moderate as DJs require human creativity, crowd interaction, and adaptability to variable environments. While equipment setup could be automated, the core entertainment value comes from human connection, reading room energy, and creative expression that robotics cannot replace.",6.0,4.0,"Entertainment industry adopts software tools moderately fast (DJ software, streaming platforms) but is slower with robotics due to the human-centric nature of entertainment. Event venues prioritize authentic experiences over full automation, and setup costs for robotic systems would be prohibitive for most DJs."
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,MEDIA_AND_COMMUNICATIONS_SERVICES,6.0,"Broadcast announcers face moderate automation risk from AI voice synthesis and automated content generation. While live commentary, interviews, and audience interaction require human creativity and social skills, routine announcements, weather reports, and music introductions could be automated. The role's emphasis on personality and real-time adaptation provides some protection.",6.0,"Robotics adds minimal additional risk beyond software automation for broadcast announcers. The role is primarily cognitive and communicative rather than physical. While robotic camera operation exists, the core broadcasting functions remain unchanged. The risk stays moderate as human personality, creativity, and real-time audience engagement remain essential.",7.0,6.0,"Media industry adopts software automation relatively quickly for efficiency gains - AI voice synthesis, automated playlists, and content generation are emerging. However, robotics adoption is slower due to high costs and the industry's focus on human personality. Audience expectations for authentic human connection also moderate adoption speed."
27-3023.00,"News Analysts, Reporters, and Journalists",MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"Journalists perform creative analysis, investigative work, and relationship-building that align with safe duties like 'framing strategy & designing novel solutions' and 'tackling ambiguous problems.' However, some routine reporting and standardized correspondence tasks are vulnerable to software automation, creating moderate risk.",3.0,"Adding robotics doesn't significantly increase automation risk for journalism since the role is primarily cognitive and communication-based. The core activities of investigation, interviewing, creative writing, and human relationship-building remain largely protected from both software and robotics automation.",6.0,4.0,"Media industry adopts software tools moderately fast for content management and distribution, but robotics adoption is slower due to the human-centric nature of journalism. News organizations are cost-conscious but value editorial quality and human judgment over pure automation."
27-3031.00,Public Relations Specialists,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"PR specialists engage in strategic communication, relationship building, and creative content development - activities requiring human judgment, empathy, and adaptability. While some routine tasks like social media posting and basic reporting may be automated, core functions like crisis management, stakeholder relations, and strategic messaging remain human-centric.",4.0,"Robotics adds minimal automation risk to PR work since it's primarily knowledge-based and relationship-focused. The role involves complex human interactions, ethical judgment in communications, and creative problem-solving that require human expertise. Physical automation has limited relevance to this profession.",6.0,3.0,"Media and communications industry adopts software tools moderately fast for efficiency (social media management, analytics, content creation tools). However, robotics adoption is slow as PR work is relationship and creativity-focused. Industry values human authenticity in communications, limiting full automation acceptance."
27-3041.00,Editors,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"Editors face moderate software automation risk. While AI can assist with basic proofreading, fact-checking, and templated content generation, core editorial duties like creative thinking, strategic content planning, complex judgment calls, and relationship building with authors remain largely human-centric and require deep domain expertise.",4.0,"Robotics adds minimal additional risk for editors since the role is primarily cognitive and communication-based. The risk remains moderate as editors' work involves creative problem-solving, ethical judgment, relationship management, and adaptability in variable content environments - all areas where humans maintain significant advantages.",6.0,5.0,"Media industry adopts software automation at moderate-to-fast pace for efficiency gains in content production and distribution. However, robotics adoption is slower as editorial work is primarily intellectual. Industry values human creativity and judgment, creating measured adoption of automation tools that augment rather than replace editorial expertise."
27-3042.00,Technical Writers,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"Technical writers face moderate software automation risk. While AI can assist with templated content generation and basic documentation, the role requires deep domain expertise, creative problem-solving, and translating complex technical information for diverse audiences - skills that remain challenging for current AI systems.",4.0,"Robotics adds minimal additional risk since technical writing is primarily knowledge work. The core automation challenges remain the same - AI struggles with contextual understanding, stakeholder communication, and adapting technical content for varied audiences and purposes.",7.0,7.0,"Media and communications industry adopts technology relatively quickly, with many organizations already using AI writing assistants and content management tools. However, full automation adoption is tempered by quality control needs and the specialized nature of technical documentation requiring human oversight."
27-3043.00,Writers and Authors,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"Writers and Authors face moderate software automation risk. While AI can assist with templated content generation and basic copywriting, the role requires creative thinking, strategic framing, tackling ambiguous problems, and building relationships with clients - all identified as safe duties. The job involves high-stakes creative judgment and experiential expertise that current AI cannot fully replicate.",4.0,"Robotics adds minimal additional risk to Writers and Authors since the role is primarily cognitive and creative rather than physical. The job remains centered on human-centric creative expression, adaptability in variable client environments, and on-the-fly problem solving - all identified as safe from robotics automation. Physical automation is largely irrelevant to this profession.",7.0,7.0,"The media and communications industry has shown relatively quick adoption of software tools like AI writing assistants, content management systems, and automated publishing platforms. However, adoption is tempered by the creative nature of the work and client relationship requirements. Robotics adoption remains minimal as the work is primarily cognitive, so both scores are similar."
27-3043.05,"Poets, Lyricists and Creative Writers",MEDIA_AND_COMMUNICATIONS_SERVICES,3.0,"Creative writing involves framing strategy, designing novel solutions, tackling ambiguous problems, and deep domain expertise - all safe duties. While some templated correspondence and routine reporting aspects exist, the core creative and strategic thinking elements provide significant protection against software automation.",2.0,"Robotics adds minimal risk since creative writing is primarily cognitive work. The job involves creative physical expression through writing, adaptability in variable creative environments, and human-centric storytelling - all protective factors against both software and robotics automation.",6.0,4.0,"Media industry adopts software tools moderately fast for efficiency (editing software, publishing platforms), but creative roles maintain human oversight. Robotics adoption is slower as physical automation has limited application in creative writing work."
27-3091.00,Interpreters and Translators,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"While AI translation tools are advancing rapidly, interpreters and translators require deep cultural understanding, contextual nuance, and real-time human judgment that current software struggles with. High-stakes legal/medical interpretation and building client relationships remain human-centric, though routine document translation faces moderate automation pressure.",3.0,"Robotics adds minimal risk beyond software automation for this profession. The role is primarily cognitive and communication-based, requiring human presence for relationship building, cultural sensitivity, and complex problem-solving in ambiguous situations that robotics cannot address.",6.0,4.0,"Media and communications industry adopts software tools relatively quickly for efficiency gains, with AI translation already being integrated. However, robotics adoption is slower as the industry values human creativity and relationship-building. Professional standards and accuracy requirements moderate the pace of full automation adoption."
27-3092.00,Court Reporters and Simultaneous Captioners,LEGAL_SERVICES,7.0,"Court reporters perform highly templated data entry, rule-based transcription workflows, and standardized correspondence generation - all vulnerable to software automation. However, they require real-time human judgment for clarifying inaudible statements, high-stakes legal accuracy, and interpersonal communication skills that provide some protection against full automation.",6.0,"While robotics adds little additional risk beyond software automation for this primarily cognitive role, the combination of AI transcription technology with robotic recording equipment could further automate the physical aspects of evidence handling and document filing, though human oversight remains critical for legal proceedings.",6.0,4.0,"Legal services industry is traditionally conservative and slow to adopt new technologies due to regulatory requirements, accuracy standards, and liability concerns. Software adoption is moderate as voice recognition and transcription tools are already emerging, but robotics adoption will be slower due to the human-centric nature of legal proceedings and high setup costs."
27-4011.00,Audio and Video Technicians,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"Audio and Video Technicians face moderate software automation risk. While some tasks like basic editing, file conversion, and routine equipment monitoring can be automated, the role requires creative problem-solving, real-time technical judgment, and human coordination that software cannot easily replicate. The job involves significant troubleshooting and adaptability.",5.0,"With robotics integration, automation risk increases moderately. Robotic systems could handle some physical equipment setup and maintenance tasks. However, the role's emphasis on creative technical work, live event coordination, real-time problem-solving, and human interaction provides protection against full automation.",6.0,4.0,"Media industry adopts software automation moderately fast due to competitive pressures and cost benefits in editing/processing. However, robotics adoption is slower due to high costs, complexity of live production environments, and need for specialized equipment that requires significant capital investment and training."
27-4012.00,Broadcast Technicians,MEDIA_AND_COMMUNICATIONS_SERVICES,6.0,"Broadcast technicians face moderate software automation risk. While monitoring, logging, and basic equipment control can be automated, the role requires real-time problem-solving, equipment troubleshooting, and quality judgment that current AI cannot reliably handle. Creative tasks like editing and production coordination remain human-dependent.",7.0,"Adding robotics increases automation risk as physical equipment maintenance, cable management, and routine setup tasks could be automated. However, complex troubleshooting, creative production work, and adaptability to variable broadcast environments still require human expertise and judgment.",6.0,4.0,"Media industry adopts software automation moderately fast for efficiency gains, but robotics adoption is slower due to high costs, complex broadcast environments, and need for reliable human oversight in live broadcasting scenarios where errors have immediate public consequences."
27-4014.00,Sound Engineering Technicians,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"Sound engineering technicians blend technical expertise with creative judgment. While some tasks like basic recording and equipment setup could be automated, the role requires deep domain expertise, creative problem-solving, and real-time adaptation to achieve desired artistic outcomes that resist standardization.",3.0,"Even with robotics, the role remains relatively safe due to its emphasis on fine-motor craftsmanship, adaptability in variable environments, and creative physical expression. The hands-on nature of equipment manipulation and real-time audio adjustments requires human dexterity and artistic judgment.",6.0,4.0,"The media industry adopts software automation moderately fast for efficiency gains, but robotics adoption is slower due to the creative, variable nature of productions and high costs of specialized equipment that must work in diverse studio environments."
27-4015.00,Lighting Technicians,TRAVEL_AND_ENTERTAINMENT_SERVICES,4.0,"Lighting technicians have moderate software automation risk. While programming lighting consoles and operating automated systems are vulnerable to software automation, the job requires creative lighting design, real-time problem-solving during live productions, safety assessments, and collaboration with directors - tasks requiring human judgment and adaptability that resist pure software automation.",6.0,"With robotics integration, physical tasks like equipment setup, cable installation, and fixture positioning become more automatable. However, the job still requires fine-motor craftsmanship for precise lighting adjustments, adaptability in variable production environments, creative problem-solving for unique lighting effects, and human collaboration for artistic vision - maintaining significant protection against full automation.",6.0,4.0,"The entertainment industry adopts software automation moderately fast due to cost pressures and standardization benefits in lighting control systems. However, robotics adoption is slower due to high setup costs, need for customization across diverse venues, safety concerns in live performance environments, and the creative nature of productions requiring human oversight and real-time adaptability."
